ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000056,molar volume unit,Class,obo:is_unit_of only (PATO:0001680)|volume unit,,"""A unit which is a standard measure of the volume of a homogeneous substance containing 6.02 x 1023 atoms or molecules."" [Wikipedia:Wikipedia]",,
UO:0000057,momentum unit,Class,obo:is_unit_of only (PATO:0001022 or PATO:0001023)|unit,,"""A unit which is a standard measure of the quantity of motion measured by the product of mass and velocity."" [Wikipedia:Wikipedia]",,
UO:0000058,rotational frequency unit,Class,frequency unit,,"""A unit which is a standard measure of the number of rotations in a given time."" [NIST:NIST]",,
UO:0000059,specific volume unit,Class,volume unit,,"""A unit which is a standard measure of the volume of a given mass of substance (the reciprocal of density)."" [Wikipedia:Wikipedia]",,
UO:0000060,speed/velocity unit,Class,obo:is_unit_of only (PATO:0000008)|unit,,"""A unit which is a standard measure of the rate of movement. Speed is measured in the same physical units of measurement as velocity, but does not contain the element of direction that velocity has. Speed is thus the magnitude component of velocity."" [Wikipedia:Wikipedia]",,
UO:0000061,unit of molarity,Class,concentration unit,,"""A concentration unit which is a standard measure of the number of moles of a given substance per liter of solution."" [UOC:GVG]",,
UO:0000062,molar,Class,molar based unit|unit of molarity,{molar},"""A unit of concentration which expresses a concentration of 1 mole of solute per liter of solution (mol/L)."" [UOC:GVG]",M,
UO:0000062,molar,Named individual,,,"""A unit of concentration which expresses a concentration of 1 mole of solute per liter of solution (mol/L)."" [UOC:GVG]",M,
UO:0000063,millimolar,Class,unit of molarity,'molar based unit' and (obo:has_prefix some milli)|{millimolar},"""A unit of molarity which is equal to one thousandth of a molar or 10^[-3] M."" [UOC:GVG]",mM,
UO:0000063,millimolar,Named individual,,,"""A unit of molarity which is equal to one thousandth of a molar or 10^[-3] M."" [UOC:GVG]",mM,
UO:0000064,micromolar,Class,unit of molarity,'molar based unit' and (obo:has_prefix some micro)|{micromolar},"""A unit of molarity which is equal to one millionth of a molar or 10^[-6] M."" [UOC:GVG]",uM,
UO:0000064,micromolar,Named individual,,,"""A unit of molarity which is equal to one millionth of a molar or 10^[-6] M."" [UOC:GVG]",uM,
UO:0000065,nanomolar,Class,unit of molarity,'molar based unit' and (obo:has_prefix some nano)|{nanomolar},"""A unit of molarity which is equal to one thousandth of one millionth of a molar or 10^[-9] M."" [UOC:GVG]",nM,
UO:0000065,nanomolar,Named individual,,,"""A unit of molarity which is equal to one thousandth of one millionth of a molar or 10^[-9] M."" [UOC:GVG]",nM,
UO:0000066,picomolar,Class,unit of molarity,'molar based unit' and (obo:has_prefix some pico)|{picomolar},"""A unit of molarity which is equal to 10^[-12] M."" [UOC:GVG]",pM,
UO:0000066,picomolar,Named individual,,,"""A unit of molarity which is equal to 10^[-12] M."" [UOC:GVG]",pM,
