ID,LABEL,Type,SubClass Of,is_unit_of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym,,,,,,,,,,,,,,,,,,
ID,A rdfs:label,TYPE,SC % SPLIT=|,SC (is_unit_of only %) SPLIT=|,EC % SPLIT=|,A rdfs:comment,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasRelatedSynonym SPLIT=|,,,,,,,,,,,,,,,,,,
UO:0000042,picomole,named individual,,,,"""A substance unit equal to 10^[-12] mol."" [NIST:NIST]",pmol,,,,,,,,,,,,,,,,,,,
UO:0000043,femtomole,class,substance unit,,('mole based unit' and ('has prefix' some femto))|{femtomole},"""A substance unit equal to 10^[-15] mol."" [NIST:NIST]",fmol,,,,,,,,,,,,,,,,,,,
UO:0000043,femtomole,named individual,,,,"""A substance unit equal to 10^[-15] mol."" [NIST:NIST]",fmol,,,,,,,,,,,,,,,,,,,
UO:0000044,attomole,class,substance unit,,('mole based unit' and ('has prefix' some atto))|{attomole},"""A substance unit equal to 10^[-18] mol."" [NIST:NIST]",amol,,,,,,,,,,,,,,,,,,,
UO:0000044,attomole,named individual,,,,"""A substance unit equal to 10^[-18] mol."" [NIST:NIST]",amol,,,,,,,,,,,,,,,,,,,
UO:0000045,base unit,class,unit,,,"""A unit which is one of a particular measure to which all measures of that type can be related."" [NIST:NIST]",,,,,,,,,,,,,,,,,,,,
UO:0000046,prefix,class,,,,,,,,,,,,,,,,,,,,,,,,
UO:0000047,area unit,class,unit,PATO:0001709,,"""A unit which is a standard measure of the amount of a 2-dimensional flat surface."" [UOC:GVG]",,,,,,,,,,,,,,,,,,,,
UO:0000048,acceleration unit,class,unit,PATO:0001028,,"""A unit which is a standard measure of the rate of change of velocity in either speed or direction."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000049,angular velocity unit,class,unit,PATO:0001413,,"""A unit which is a standard measure of the rate of angular movement about an axis; the angle rotated in a given time."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000050,angular acceleration unit,class,unit,PATO:0001350,,"""A unit which is a standard measure of the rate of change of angular velocity."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000051,concentration unit,class,unit,PATO:0000033,,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,,,,,,,,,,,,,,,,,,,
UO:0000052,mass density unit,class,density unit,PATO:0001353,,"""A density unit which is a standard measure of the mass of a substance in a given volume."" [UOC:GVG]",mass per unit volume,,,,,,,,,,,,,,,,,,,
UO:0000053,luminance unit,class,light unit,PATO:0001718,,"""A unit which is a standard measure of the luminous intensity impinging on a given area."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000054,area density unit,class,density unit,PATO:0001351,,"""A density unit which is a standard measure of the mass exerting an influence on a given area."" [Wikipedia:Wikipedia]",mass per unit area unit,,,,,,,,,,,,,,,,,,,
UO:0000055,molar mass unit,class,mass unit,PATO:0001681,,"""A unit which is a standard measure of the mass of a homogeneous substance containing 6.02 x 1023 atoms or molecules."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000056,molar volume unit,class,volume unit,PATO:0001680,,"""A unit which is a standard measure of the volume of a homogeneous substance containing 6.02 x 1023 atoms or molecules."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000057,momentum unit,class,unit,PATO:0001022|PATO:0001023,,"""A unit which is a standard measure of the quantity of motion measured by the product of mass and velocity."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000058,rotational frequency unit,class,frequency unit,,,"""A unit which is a standard measure of the number of rotations in a given time."" [NIST:NIST]",,,,,,,,,,,,,,,,,,,,
UO:0000059,specific volume unit,class,volume unit,,,"""A unit which is a standard measure of the volume of a given mass of substance (the reciprocal of density)."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000060,speed/velocity unit,class,unit,PATO:0000008,,"""A unit which is a standard measure of the rate of movement. Speed is measured in the same physical units of measurement as velocity, but does not contain the element of direction that velocity has. Speed is thus the magnitude component of velocity."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000061,unit of molarity,class,concentration unit,,,"""A concentration unit which is a standard measure of the number of moles of a given substance per liter of solution."" [UOC:GVG]",,,,,,,,,,,,,,,,,,,,
UO:0000062,molar,class,molar based unit|unit of molarity,,{molar},"""A unit of concentration which expresses a concentration of 1 mole of solute per liter of solution (mol/L)."" [UOC:GVG]",M,,,,,,,,,,,,,,,,,,,
UO:0000062,molar,named individual,,,,"""A unit of concentration which expresses a concentration of 1 mole of solute per liter of solution (mol/L)."" [UOC:GVG]",M,,,,,,,,,,,,,,,,,,,
UO:0000063,millimolar,class,unit of molarity,,('molar based unit' and ('has prefix' some milli))|{millimolar},"""A unit of molarity which is equal to one thousandth of a molar or 10^[-3] M."" [UOC:GVG]",mM,,,,,,,,,,,,,,,,,,,
UO:0000063,millimolar,named individual,,,,"""A unit of molarity which is equal to one thousandth of a molar or 10^[-3] M."" [UOC:GVG]",mM,,,,,,,,,,,,,,,,,,,
UO:0000064,micromolar,class,unit of molarity,,('molar based unit' and ('has prefix' some micro))|{micromolar},"""A unit of molarity which is equal to one millionth of a molar or 10^[-6] M."" [UOC:GVG]",uM,,,,,,,,,,,,,,,,,,,
UO:0000064,micromolar,named individual,,,,"""A unit of molarity which is equal to one millionth of a molar or 10^[-6] M."" [UOC:GVG]",uM,,,,,,,,,,,,,,,,,,,
UO:0000065,nanomolar,class,unit of molarity,,('molar based unit' and ('has prefix' some nano))|{nanomolar},"""A unit of molarity which is equal to one thousandth of one millionth of a molar or 10^[-9] M."" [UOC:GVG]",nM,,,,,,,,,,,,,,,,,,,
UO:0000065,nanomolar,named individual,,,,"""A unit of molarity which is equal to one thousandth of one millionth of a molar or 10^[-9] M."" [UOC:GVG]",nM,,,,,,,,,,,,,,,,,,,
UO:0000066,picomolar,class,unit of molarity,,('molar based unit' and ('has prefix' some pico))|{picomolar},"""A unit of molarity which is equal to 10^[-12] M."" [UOC:GVG]",pM,,,,,,,,,,,,,,,,,,,
UO:0000066,picomolar,named individual,,,,"""A unit of molarity which is equal to 10^[-12] M."" [UOC:GVG]",pM,,,,,,,,,,,,,,,,,,,
UO:0000067,unit of molality,class,concentration unit,,,"""A concentration unit which is a standard measure of the number of moles of a given substance per kilogram of solvent."" [UOC:GVG]",,,,,,,,,,,,,,,,,,,,
UO:0000068,molal,class,molal based unit|unit of molality,,{molal},"""A unit of concentration which expresses a concentration of a solution of 1 mole per kilogram of solvent (mol/kg)."" [UOC:GVG]",m,,,,,,,,,,,,,,,,,,,
UO:0000068,molal,named individual,,,,"""A unit of concentration which expresses a concentration of a solution of 1 mole per kilogram of solvent (mol/kg)."" [UOC:GVG]",m,,,,,,,,,,,,,,,,,,,
UO:0000069,millimolal,class,unit of molality,,('molal based unit' and ('has prefix' some milli))|{millimolal},"""A molality unit which is equal to one thousandth of a molal or 10^[-3] m."" [UOC:GVG]",mm,,,,,,,,,,,,,,,,,,,
